,Beer Names,Rating,Locations,Reviews,Users
0,Sierra Nevada 40 Hoppy Anniversary Ale,3.3,"Chico, California","16 oz draft pours an light orange color with a small white head.  Aromas of citrus, pine, resin, a good old fashioned west coast IPA.  Medium bodied, nicely balanced, a very good beer.",jw0406
1,Maine Beer Zoe,4.1,"Freeport, Maine","500 ml. bottled 10/29/2019. Slightly foggy, chestnut brew with a creamy film of foam. Interesting aroma of pineapple upside-down cake with touches of cocoa, grapefruit and orange. Flavor has bread, orange, grapefruit, toffee, white pepper, toasted walnut and a touch of coffee. Medium body has medium-high carbonation that's almost too much but remains smooth enough. Easy drinking balance that finishes nutty and dry.",nearbeer
2,De Dolle Stille Nacht,4.7,"Diksmuide, Belgium","Stille Nacht Ottobre 2019. Ambrata carica, schiuma compattissima e pannosa. Aromi intensi di luppolo in fiore e zucchero candito. Al palato risulta strutturata in modo equilibratissimo : inizio caloroso e riscaldante dovuto all'alcol, che poi sfuma in dolci note speziate di caramello, luppolo, frutta matura, tutto fuso assieme e incredibilmente omogeneo. Finale morbido, rotondo, con un leggero retrogusto acidulo, mascherando la gradazione alcolica.",sakimori
3,Tree House Jjjuliusss,4.3,"Charlton, Massachusetts","Acquired a can in a trade with tfontana, thanks Tom! Can date of 1-21-20. Is this any different than then King Julius? Maybe a tad more juice? How much juice can one IPA actually have? After reviewing my notes of king Julius...  Yes this has a huge juicy character. This also has absolutely no bitterness. No green hop either. So the fruit juice, lasts and lasts and lasts. This really is tasty. Soooo, ok... I like it.
",AirForceHops
4,Tired Hands Alien Church,4.1,"Ardmore, Pennsylvania","Can as a gift around X-mas.  Super cloudy, apricot in color, good head. Good lacing left on the glass. Nose of biscuits and flaked oats. Taste is tons of tropical fruits. Mango, apricot, banana, tangerine, oranges, etc. Well balanced with a good malt body.  Smooth for a 7% beer. Overall this is an easy drinking, good tasting beer.",GMCC2181
5,Boneyard Hop Venom,3.6,"Bend, Oregon","Draught. Pours lightly hazy dirty orange with a medium, frothy white head, long retention with good lacing. Heavy pine, spruce, and resin hops, moderate hop bitterness, medium bready malt, light alcohol, and a dry finish. Medium-full body and medium carbonation.",BeerandBlues2
6,Boneyard RPM IPA,3.6,"Bend, Oregon","Draught. Pours clear orange with a medium, creamy white head, medium retention with good lacing. Heavy grapefruit and floral hops, moderate hop bitterness, medium bready malt, and a dry finish. Medium body and carbonation.",BeerandBlues2
7,Aecht Schlenkerla Eiche Doppelbock,4.0,"Bamberg, Bavaria","Reddish brown beer with a medium head. A nice doppelbock with a kick. Compared to the other schlenkerla beers, this beer has a more spicy smoke tast. if the normal bock is smoked ham, this is smoked beef. Very nice",rja
8,Ayinger Celebrator Doppelbock,4.2,"Aying, Bavaria","Botlle. Nose is malty,  dark fruit, plums, raisin. Taste is dark malts, dough, spice, hint of almond, roast, herbal hop not, touch of chocolate in the body with a bitter finish. 

Beautifully balanced.",Hanoi
9,Cigar City Cubano-Style Espresso Brown Ale,3.8,"Tampa, Florida","35.5cl can at home, bought at Just in Beer. Appearance: dark brown with a medium to big beige head. Aroma: dark roast coffee and coffee grounds, peppery, slight vanilla. Taste: moderate sweetness and fairly high bitterness. Mainly coffee and coffee grounds, with some peppery notes, rye, some licorice root. Palate: medium bodied, watery to oily texture and soft carbonation. Overall: pretty good! even though the body is not too strong, it is perfect for this style.",SimonBlok
