,Beer Names,Rating,Locations,Reviews,Users
0,Almanac Peach Sournova,4.2,"San Francisco, California","On tap. Funky peachy tart aroma. Taste of peach, sweet but leading into a big sour finish.. delicious.",kevinsenn
1,Tofino Dawn Patrol Coffee Porter,3.5,"Tofino, British Columbia","650 ml bottle from Canada Craft Club.  Pours a cloudy brown colour with modest-sized light tan head.   Aroma is big coffee with a little vanilla and roast.  Flavour is lots of coffee, some cocoa and vanilla with a bit of a bourbon touch.  Fine carbonation.  Nice.",Spab
2,Other Half / Monkish Blowin' Up the Spot,3.8,"Brooklyn, New York","Pours a hazy, mustard yellow, with minimal head. Aroma is dank, with stinky cheese, some tropical and citrus notes. Flavor is sweet, with citrus and tropical fruit, just a slight touch of alcohol burn. Almost no hop bite in the finish. Smooth, soft mouthfeel.",bookman10
3,Sweetwater 420 Strain Mango Kush,3.6,"Atlanta, Georgia","Pint at the Hurricane Oyster Bar in Grayton Beach. Pours a clear, golden color, with a medium, frothy, off-white head. The nose is heavy mango, pineapple, hay and dust, wet grass, and corn syrup. Sweet and sugary, with a mild bitterness. Light body, with a fluffy, clean palate. This is a fun, fruity wheat, although the initial nose just reminds me of burning trashcan smell of potheads.",GTAEgeek
4,New Anthem Midnight Sunroof,4.0,"Wilmington, North Carolina","Pours hazy apricot that lets through just a little daylight at the edges. Ivory head is thick and tight. Aroma provides resiny and slightly dank hops, raw malt, tangy and slightly sweet citrus. Flavor offers piney and funky hops, raw malt, tangy and tart citrus, a hint of hay. Texture gives good body and perky fizz. After midnight, we're gonna drink some good craft beer.",Cybercat
5,Sierra Nevada Fantastic Haze,3.1,"Chico, California","Large off white head with good retention and a nice lace. Lightly hazy blond. Nose is mango and a little citrus. Body is medium, ain’t juicy, prickly carbo. Just some lightly sweet pale malts and lightly fruity hops. Dry, lightly bitter finish. Seems SN is trying a bit too hard. 12oz can from statelineliquors.",sloth
6,"Burley Oak Jelly Not Jam - Cherry, Raspberry, and Strawberry",3.8,"Berlin, Maryland","Can from the brewery. Pours hazy orange/red with a thin, fizzy head. Tastes like tart citrus, berry, cookie malt, and sour yeast. Light body and low carbonation. Smells like berry, yeast, sour dough, and cookie malt.",snoworsummer
7,Blue Moon Raven's Moon Asian Pear Cider,2.7,"Courtenay, British Columbia","Pours a flat white wine, soft pear on the nose with a hint of vanilla. Flavour is very soft pear mixed with some more vanilla. Full on the mouth the alcohol is well hidden, but it's rather uninteresting.",DeanF
8,Wolf Traditional ESB,1.9,"Nanaimo, British Columbia","Pours with soft brown body and minimal foam, smells of brown sugar and those cheap halloween candies. Flavour is soft caramel and mountain due. Mouthfeel is cloying. This is a big miss for an ESB.",DeanF
9,Fair State High Plains Snifter,3.8,"Minneapolis, Minnesota","On tap at the brewery. Pours a cloudy dark brown with a thin head that dissipates quickly and completely. Aroma has slightly dark grains with toffee, light dark berries and a bit of apple brandy underlying. Flavor has slightly dark grains and toffee with touches of apple brandy, blackberry and a hint of caramel backing.",deyholla
10,New Belgium Voodoo Ranger American Haze,3.4,"Fort Collins, Colorado","12 ounce can from Woodman's Appleton, 2/6/20. Murky orange, large foamy white head, good retention. Aroma of dank, melon, pale malt and a bit of toast. Taste is resin, melon, dank, yuzu, pale malt. Medium bodied, low bitterness.",Drake
11,Wolf Jinglepot Stout,3.4,"Nanaimo, British Columbia","Pours with good beige foam on a nice black body, smells of nice sweet dark milk chocolate. Flavour is good sharp cocoa with hints of sweet barley. Nice dryness on the mouth. This is decent and filling.",DeanF
12,Grayton Fish Whistle IPA,3.0,"Santa Rosa Beach, Florida","Pint at the Hurricane Oyster Bar. Pours a clear, brown color, with a small, beige head. The aroma is caramel, resin, toffee, rose, and wheat bread. Sweet and malty, with a mellow bitterness. Light to medium body, with a thin, sharp palate. Mediocre aromatics for an IPA, and pretty thin and weak. Fair.",GTAEgeek
