,Beer Names,Rating,Locations,Reviews,Users
0,Wolf Traditional ESB,1.9,"Nanaimo, British Columbia","Pours with soft brown body and minimal foam, smells of brown sugar and those cheap halloween candies. Flavour is soft caramel and mountain due. Mouthfeel is cloying. This is a big miss for an ESB.",DeanF
1,Heineken,1.3,"Zoeterwoude, Netherlands",Another lame macro lager. Boring and watery. I don't know why people bother to import this into Australia when there are a billion beers like it already available.,fellers
2,Steam Brew Imperial Stout,1.5,"Neckarsulm, Baden-Württemberg","Barwa czarna nieprzejrzysta. 
Piana Beżowa drobno pęcherzykowa, zanikająca. Muszę przyznać, że mamy tu bardzo ładny lacing. 
W aromacie Mokra szmata trochę Rodzynek, trochę śliwek likierze, ale naprawdę mocno trzeba chcieć coś wyczuć. 
W smaku pusto. Delikatna słodycz przechodzi w delikatną goryczkę, ale za każdym łykiem pierwsza dopada mojra szmata. Ogólnie nic się nie dzieje. Alkohol wyczuwalny metalicznie drapie w gardło. Omijać szerokim łukiem. ￼￼￼￼",yield
3,Mayfayre Medium,1.6,"Priors Frome, Herefordshire",Bag-in-Box. På GBBF Winter 2020 i Birmingham. Delt med Rune. Grågul. Luftig skumring. Stikkende pærearoma. Smaken maling. Ikke god. Forsiktig tørr avslutning.,Finn
4,Gwatkin Yarlington Mill Cider (6% ABV from 2016),1.9,"Hereford, Herefordshire",Bag-in-Box. På GBBF Winter 2020 i Birmingham. Delt med Rune. Gusjeamber. Skumring. Aroma av epleskall. Smaken det samme. Lett tørr avslutning.,Finn
5,Piton,1.9,"Vieux Fort, St Lucia","Bottle split at Cotts Convention V, T Hanks, 08/06/19.
Pale golden blonde with a decent off white cap.
Nose is grass, pale malts, straw, papery twang.
Taste comprises pale malts, cereals, grains, pretty basic all round.
Medium bodied, fine carbonation, semi drying close.
Sub par even for a PLCS (pale lager country scope).
",Theydon_Bois
6,Steel Reserve Alloy Series Spiked Tropic Storm,1.4,"Milwaukee                       , Wisconsin","Interesting light flavor, similar to watermelon or kiwi but not, not the greatest but not terrible",BubbleAromas23
7,Simpler Times Pilsner,0.6,"Monrovia, California","Jesus this is bad. Not sure what discriminates this from their lager, taste very similar with harsh grainy notes, corn, acetaldehyde. Light bitterness.",PhillyBeer2112
8,Revolution Fistmas Ale,1.9,"Chicago, Illinois","HAHA, funny name and interesting can from chalet.  Once popped, this stuff smells like a pine tree, no lie, a real Christmas tree, heheh. Taste is spruce and pine needles. Yes, it really does make me think that it's Christmas. Color is slightly darker than pale. Lots of hops and very few if any spices, as in any other holiday brew that is spiced to death and I'm glad, I dislike those holiday spiced brews. Yes, more like an IPA and I bet IPA lovers will like this. Can't really find the orange peel, but I think I do pick up a little bit of ginger and heat in the finish. I don't like IPA but this is better than most holiday brews. So be it.",cheap
9,Moravia Pils,1.8,"Hamburg, Hamburg","Vom Fass in einer schönen Gardinen Kneipe in HH, goldgelb, komischer malziger Geschmack herb muffigen Abgang, naja",MBlessing
10,Sarajevsko Kruska,0.9,"Sarajevo, Bosnia and Herzegovina","Zlatnozute boje, bez pjene. Skoro bez arome, samo blago neugodne metalne i arome vlaznog kartona, kruška neprimjetna. Slatko, kratkog slatkog finiša. Vodene teksture, jake karbonizacije. Veliki promašaj, čak ni ne liči na regularni radler!",BojanM
11,Ora Limoncello IPA,1.4,"Tottenham, Greater London",På GBBF Winter 2020 i Birmingham. Delt med Rune. Lysegrågul. Filmskum. Litt uklar. Ingefæraroma. Smaken dorens. Kunstig. No good.,Finn
12,Drinks of the World Beer,1.9,"Lohnbrauhausen, Baden-Württemberg","50cl Can @ Drinks of The World, Geneva, Switzerland.
Golden colour with a medium size white head.
Aroma is malt, grain.
Taste is malt, sweet, grain, cardboard.
Medium body, average carbonation.",melush
13,Eichbaum Schwarzbier,1.8,"Mannheim, Baden-Württemberg","29-01-20 // 500ml can from local Edeka. As Steininger Schwarzbier and with Frankenthaler Brauhaus as Inverkehrbringer. Clear brown. Not a schwarzbier. More of a Dunkel. Sweet malts. Malt beer/ malt extract like.

29-01-20 // 500ml can from local Edeka. AS BLREOR Schwarzbier. Interestingly It’s different Than the Steininger from the same producer. Clear darker brown. Less sweet malts. Still not a good beer so and wouldn’t classify as a Schwarzbier. Cheap plörriger aftertaste.",rhoihessegold
14,Amelia Tavern Amber,1.7,"Fernandina Beach, Florida","On tap in the brewpub as ""Canary Cross Amber"". Aroma : light caramel & cereal malts, hint of indistinct red fruit hop.  Taste : Specific flavours don't really come through, but has a light sweet malt feel nicely balanced by a light bittering, not horrible just a tad boring (Florida tour Nov 2018)
",FACambridge
15,ABK Hell,1.5,"Kaufbeuren, Bavaria","Light caramel & corn malt, hint of lemon citrus hopLight sweet caramel malt, grain/cereal, and some citrus note. Light and refreshing but nothing special
",FACambridge
16,ABK Fels,1.1,"Kaufbeuren, Bavaria","Aroma : Lightly toasted caramel malt, grassy hop.  Taste : As nose, not horrible; just boring !
",FACambridge
17,Budweiser,1.9,"St. Louis, Missouri","Jasnozłociste, klarowne piwo. Piana słaba. Aromat nikły, delikatna nuta kwiatów. W smaku wodniste, cienkie i bez wyrazu. Mocno nasycone, zapychające, goryczki brak.",buczykij
