,Beer Names,Rating,Locations,Reviews,Users
0,The Bruery Sucré (Portuguese Brandy),4.5,"Placentia, California","75CL, acquired in 2014 and forgot I had it. Finally opening February of 2020. ""will age for decades"" so let's see :) Dark reddish color, had a 7-up kind of carbonation when I poured it. can smell sweet syrupy brandy from a few feet away. maple syrup, baked apples and cinnamon aroma. wow, this has blended and aged so well. soggy oak, burnt sugar, vanilla, bible paper, ice cream, candied sugar and more apple. little bits of cherry and lovely smokey flavor with an oily grain alcohol finish. Easily the best of the anniversary beers.",AdamChandler
1,De Dolle Stille Nacht,4.7,"Diksmuide, Belgium","Stille Nacht Ottobre 2019. Ambrata carica, schiuma compattissima e pannosa. Aromi intensi di luppolo in fiore e zucchero candito. Al palato risulta strutturata in modo equilibratissimo : inizio caloroso e riscaldante dovuto all'alcol, che poi sfuma in dolci note speziate di caramello, luppolo, frutta matura, tutto fuso assieme e incredibilmente omogeneo. Finale morbido, rotondo, con un leggero retrogusto acidulo, mascherando la gradazione alcolica.",sakimori
2,High Water West Meets East,5.0,"Chico, California","Bought at Gerrard’s Market from Redlands, California for $15.99, West Meets East is a golden ale brewed with kiwi and kumquat aged in wine barrels crafted by Highwater Brewing Company from San Jose, California.

The aroma of a musty funk, kiwi, white wine, and elderflower are noted as you drink. The appearance is a golden orange with a minimal white head. When held up to light, a cloudy yellow shows. The alcohol content is 6%.

Kumquat provides a juicy tang along with a moderate sour on the take. Kiwi sweetens and smoothens the drink. A white wine hue accompanies the kiwi. Wild yeast gives off a musty funk to the slightly dry finish and leaves a soft lactic, tart touch on the mouthfeel. Elderflower colors the wine and funky frame. Oak offers a woodsy aspect to the lactic and elderflower notes. Biscuit malt gleams with the kiwi and white wine blend.

West Meets East is a beautiful sour blonde ale. The kiwi, kumquat, white wine, funky wild yeast, biscuit malt, and elderflower combination sets this beer apart. The kumquat and lactic blend into a dazzling medley. The sour and tart are strong when the beer is cold and mellows as it warms. The elderflower compliments the kumquat and kiwi notes. I treasured each drink and impressed by its complexity and depth. 

Cheers. Prost. Drink for the love of beer.

For more beer reviews, visit and like my blog “Drink For the Love of Beer.”",dflb
3,Les Trois Mousquetaires Stout Impériale,4.7,"Brossard, Quebec","750-ml caged and corked bottle purchased at the brewery in Brossard, Quebec, Canada. Pours pitch black yet with the tiniest bit of mahogany hightlights, along with a trace of brown head and lots of clingy lacing. Aroma: coffee, chocolate, dark dried fruits, smoke. Flavor: espresso, milk chocolate, campfire marshmallows, prunes, raisin bread, date bars, figs, molasses cookies, burnt toast; perfectly balanced between sweet and bitter. Mouthfeel: full-bodied with a velvety smooth, creamy yet oily finish.",shawnmurphy
4,Hill Farmstead Genealogy of Morals - Coffee (Akmel Nuri) - Rum,4.5,"Greensboro, Vermont","Bottle at home in Hackney - picked up at the brewery. Pours black-brown with a foamy, beige head. Luxurious and delicious, with lots of layered chocolate character, a bit of chocolate sauce, ripening dark fruits, subtle roast, creamy-sugary coffee. Full bodied, oily and lightly chewy, with fine carbonation. Softly warming finish, almost a little sticky, more more decadent chocolate character, raisins, mellow earthy bitterness, more dense fresh coffee. Has an obscene amount of depth. Makes for a great sipper. Delicious.",Leighton
5,Beamish Irish Stout,5.0,"Cork, Ireland","""il solito"" al pub che frequento di più era la Beamish. Una birra che non ti stanca mai, leggera di gradazione, dissetante, ne berresti litri!
Ottima stout Irlandese ""caffelattosa"", con schiuma spumosa (spillatura ad azoto).
Per il mio gusto, superiore alla ""sorella"" ben più famosa e diffusa.",flogisto
6,Sierra Nevada Torpedo Extra IPA - Bourbon Barrel Aged,4.5,"Chico, California","Absolutely delicious. The hoppiness of Torpedo is toned down, but the results are oh so fascinating once this subdued IPA bitterness is coupled with generous barrel aging. The bourbon notes provide a lovely baseline, while subtle grapefruit, orange, and pine notes play off the vanilla and wood from the barrel. Texture's dreamy in its supple smooth feel; ABV's a nonfactor. Just a frickin' amazing beer.",oobawa
7,Deschutes The Abyss - Brandy,4.6,"Bend, Oregon","3.5 yrs aged. Black pour with a foamy thin tan head. Rich darkly sweet aroma with notes of brandy and plum and raisin and dates. Hints of roast malt and blackberry. Big dark boozy flavor with notes of charred barrel, dates, brandy, blackberries, and a little bittersweet dark cocoa. Lingering roasty and gently earthy finish.",onceblind
8,Stone Viking Space Probe Double IPA ,4.5,"Escondido, California","Had on tap at Tenaya Creek, this was delicious. Quite hazy, a ton of grapefruit flavors with a little orange.  This is the Stone quality I remember but had been missing in some recent average beers. This one is top notch! Tasty tasty.",dwyerpg
9,Primal Lawn Boy,4.5,"Huntersville, North Carolina",An American Lager with no bitter aftertaste. Clean but not overpowering Lemon and Ginger flavor. A Light & Crisp finish. Doesn't weigh you down. Perfect for a warm afternoon or just relaxing at home or with your friends. High Recommended if you are an America Lager Fan.,DraftReports58
