,Beer Names,Rating,Locations,Reviews,Users
0,Eleventh Hour Double Nocturnal Rainbow,3.7,"Pittsburgh, Pennsylvania","Can from Liberty store. Pours black lots of head and lacing. Notes are milk chocolate, roasted marshmallows, coffee. Big sweet, medium bitter. Creamy body medium carbonation.",rejtable
1,Southern Pines Denali Kiss,3.4,"Southern Pines, North Carolina","Murky golden orange pour with one finger off-white head. Some citrus and fruit in the aroma/flavor. Bright, grassy and a touch zesty. Overall, somewhat muted and one dimensionsal. I enjoyed it but wouldn't go back.",emacgee
2,Kona Island Colada Cream Ale,3.8,"Kailua Kona, Hawaii","Can smell the cream, pineapple and some coconut. Get mostly cream and some sweet pineapple. Decent.",Obfuscate
3,Spring House Taang! ,3.7,"Conestoga, Pennsylvania","16 oz. Aroma is Smarties, Tang, oranges, bready. Pours hazy golden with large-ish chunks of sediment floating around; has a one finger bone-white head with decent retention. Taste has a moderate pithy  bitterness, a light to moderate sweetness, with flavors of Tang and oranges, peel and pulp, vanilla. Not bad.",poisoneddwarf
4,Bell's Light Hearted Ale,4.2,"Comstock, Michigan","An excellent example of a style I really enjoy. Light, crisp with a nice hop profile.",Obfuscate
5,Pentrich Mild Chaos,2.9,"Pentrich, Derbyshire","Cask @ City Arms, Manchester.  Fuller hazed yellow-amber with a frothy head.  Has a citrus hoppiness, evident in both aroma and taste.",ManVsBeer
6,Barrel Theory Full Send,3.2,"St Paul, Minnesota",Sampled from the tap at the brewery. Pours a cloudy earthy yellow with a white head that dissipates slowly to the edges. Aroma has dank papaya and citrus with a strong onion note supporting. Flavor is onion forward with dank papaya and bitter citrus underlying.,deyholla
7,Worthy Pyroclastic Flow,3.6,"Bend, Oregon","Draught. Pours clear dark amber with a medium, creamy off-white head, medium retention with good lacing. Moderate grapefruit and resin hops, moderate hop bitterness, medium honey and toast malt with a dry finish. Medium-full body and medium carbonation.",BeerandBlues2
8,Tonewood Midnight Marauder ,3.9,"Oaklyn, New Jersey","Dark black with a large khaki head and nice lacing. Nose is bourbon barrel, banana bread, toffee, and roast. Flavor is really smooth and easy going for the percent. Coconut barrel, fudge, char, and more roasted malt. Medium bodied, and not too sticky for the style.",PhillyCraft
9,Worthy Subatomic,3.2,"Bend, Oregon","Draught. Pours clear black with a medium, frothy off-white head, short retention. Medium rich roast and caramel malt, dates and figs, light hop bitterness, and a medium dry finish. Medium body and carbonation.",BeerandBlues2
10,Helltown lawful evil,3.8,"Mount Pleasant, Pennsylvania","Can. Dark golden, slightly cloudy. Hop aroma with some malt.  Really good. Strong, with good but not the very strong hop flavor many DIPAs have.",MattShizzle
11,Pipe Dream CT Crunch Stout,3.5,"Londonderry , New Hampshire","Pours thick black with thin dark tan head. Aroma is cocoa, maple syrup, roast and cinnamon. Taste is chocolate, maple syrup and brown sugar, moving to cinnamon and roast. Finish is chocolate, maple syrup and cinnamon.",GregMooreNH
12,Worthy Sol Power Pils,3.4,"Bend, Oregon","Draught. Pours clear yellow with a medium, frothy white head, long retention with good lacing. Medium rich biscuit malt, medium citrus hops and hop bitterness, a clean lager character, and a dry finish. Light body and medium carbonation.",BeerandBlues2
13,Contrary Oak Syvyys,4.0,"Muscatine, Iowa","Black appearance with a bubbly tan head. Aroma of toasted oak, roasted malt, bitter chocolate and light earthy notes. Similar flavor, oaky and roasty with mild sweetness and mild bitterness. Medium to full body with a soft feel and a lingering woody finish.",ajnepple
14,Naked River Squatch Watchin' Wheat,3.0,"Chattanooga, Tennessee","Very malt-forward for an American wheat ale, with an outsized toasted bread and caramel backbone overshadowing the more gentle grassy, fruit-tinged notes of the style. Hints of lemon and orange backed up by mild floral hops offset the malt, but it's hard to find much balance or nuance. Not bad, but not what you'd expect.",oobawa
15,Ceria Grainwave (no THC),3.2,"Arvada, Colorado","Gold pour, little haze, finger of white head.  Nose is citrus and grain.  Middle is blood orange (not to strong), light berry, some melon, little spice, light kilned malt. Finish is fruity and yeasty.  Nice mouthfeel for the ABV.",ttoadee
16,Boneyard Hard to Port,3.0,"Bend, Oregon","Draught. Pours clear black with brown highlights and a medium, frothy beige head, medium retention with good lacing. Moderate roast malt, bitter malt and hops, dark fruits of raisins and plums, and a dry finish. Medium-full body and medium carbonation.",BeerandBlues2
17,"Four Saints Rye, Oh Rye IPA",4.1,"Asheboro, North Carolina","This is one beautiful beer.  Amazing 
bright clear reddish brown.  Thick off white head.  Plenty of lace.  The rye is in the front in both aroma and flavor.  Lots of resiny pine as well.  Very earthy hop bill. Starts with a bitter smack  Some leathery notes and lots of toffee and caramel malt unfold next. A long earthy bitter fade follows with some citrus and berry notes. Excellent.",freekyp
18,Phase Three Pixel Density,3.4,", Illinois","On tap at Ellyn's Tap & Grill in Glen Ellyn, IL. dispensed to only a snifter showing an ultra cloudy, pulpy orange color, with a presentable layer of soft white froth, and a sheeting band of lacing. The nose was rather expressive, with mild dankness, citrus, tropical fruit as pineapple & mango, creaminess, sweetness, and a touch of vanilla. Medium bodied, the taste was similar, the sweetness & cream seemed to disappear, as the carbonation was rather low, thus prompting the notion of thinning texture. Bitterness was fruity, rind-like, pulpy, and earthy, with some dryness to the finish. All the right notes in the wrong proportions. Also, not necessarily snifter worthy for the price point.",tmoreau
19,Blackjack Helles Inspired Lager,2.4,"Manchester, Greater Manchester","Keg @ Jack In the Box at Mackie Mayor, Manchester.  Golden with a creamy-frothy head.  Has a light Helles styling, but is evident enough with perhaps its crispness its best feature.",ManVsBeer
20,Beer Studio Blackberry Burst,2.9,"Salford, Greater Manchester","Cask @ Abel Heywood, Manchester.  Darker brew with a small head. It's not overly fruity but the actual blackberry is evident within its taste.",ManVsBeer
21,Sudden Death Spaceman Dust,4.2,"Timmendorfer Strand, Schleswig-Holstein","AR: (kratziger) Hopfen, Zitrus, Tropenfrucht, pfeffrig, 
AP: milchigtrübes weissgelb
TA: (kratziger) Hopfen, Tropenfrucht, Zitrus, Hefe",hopihalido
22,Coppertail Raglan Irish Stout ,3.7,"Tampa, Florida","Tap at Hole in The Wall (Raglan outside bar).    Dark brown almost black pour big frothy Guinness like head.  Nose is light earthy chocolate.  Tastes of light malt, rootbeer, roast and hint of dark chocolate.  Thin and dry.   I’m hungover so this is pleasant way to get back into life.",Jow
23,Les Trois Mousquetaires Stout Impériale,4.7,"Brossard, Quebec","750-ml caged and corked bottle purchased at the brewery in Brossard, Quebec, Canada. Pours pitch black yet with the tiniest bit of mahogany hightlights, along with a trace of brown head and lots of clingy lacing. Aroma: coffee, chocolate, dark dried fruits, smoke. Flavor: espresso, milk chocolate, campfire marshmallows, prunes, raisin bread, date bars, figs, molasses cookies, burnt toast; perfectly balanced between sweet and bitter. Mouthfeel: full-bodied with a velvety smooth, creamy yet oily finish.",shawnmurphy
24,Baere Makin’ Noise Strata Pale,4.1,"Denver, Colorado",Clear rich golden with a thick rocky white head. Nice aroma of sticky dank earthy pineapple and a little piney resin. Crisp bright golden malty flavor with nice pineapple and resiny aromas with little bitterness. Smooth and balanced and quaffable.,onceblind
25,Stod Fold Down Under,2.9,"Halifax, West Yorkshire","Cask @ Fox & Goose, Hebden Bridge.  Light golden with a small head.  Hoppy ale with a brooding fruitiness somewhere in the background, and some malty-bitterness in its aftertaste.",ManVsBeer
26,Payette Saucer Boy,3.1,"Boise, Idaho",On Tap at the Boise brewery/taproom.  Hazy deep orange light amber with a thin wispy soapy of white head.  Some deep resinous piney hops in the aromas and flavors. Big citrus pithiness as well.  Late light malty cereal flavors.   Medium bodies and a little ABV burn in there.,IndianaRed
27,Silver Moon Barrel Aged Xul Blend,3.8,"Bend, Oregon","Draught. Pours opaque jet black with a medium, frothy beige head, short retention. Moderate rich chocolate, toffee, and caramel malt, sweet cinnamon and vanilla, tobacco notes, dark fruits, and a sweet finish. Full body and medium carbonation.",BeerandBlues2
28,Silver Moon Raspberry Nights,3.3,"Bend, Oregon","Draught. Pours clear, nearly opaque black with a medium, frothy beige head, short retention. Moderate rich chocolate, medium roast malt, tart raspberries, and a dry finish. Full body and medium carbonation.",BeerandBlues2
29,Silver Moon Bangarang!,3.4,"Bend, Oregon","Draught. Pours lightly hazy gold with a medium, frothy white head, short retention. Moderate tart and acidic passion fruit, light cracker malt and a dry finish. Light body and carbonation.",BeerandBlues2
30,Silver Moon Moonlight,3.1,"Bend, Oregon","Draught. Pours clear gold with a medium, frothy white head, medium retention with spotty lacing. Medium grainy sweet bready malt, light spicy and floral hops and hop bitterness, light sulfur, and a dry finish. Light body and medium carbonation",BeerandBlues2
31,Strangeways Imperial Lucky Leprechaun,3.5,"Richmond, Virginia","16 oz can from Total Wine and More in Short Pump, VA  No brewer name on the label  This was a difficult beer to classify.  Others have it as a Sour -Weisse.  The sour poured a cloudy amber color with a big white head that quickly dissipated.  The sour aroma of beer but really on the best I have had. The sour has a medium body with soft carbonation.  The finish is clean with a mouthfeel of pleasant sourness.",Foxbush
32,Odyssey Just After Midnight,3.7,"Whitbourne, Herefordshire","Delt med Rune på rom 410 Premier Inn Waterloo, Birmingham. Svart. Middels høyt lysebrunt skum som daler sakte og etterlater litt lacing. Lakrisaroma. Silkemyk munnfølelse. Smaken nøtter & sjokolade. Tørr avslutning. Litt alkohol kommer fram.",Finn
33,Bend Primal Dream CDA,3.9,"Bend, Oregon","Draught. Pours clear black with a medium, frothy beige head, long retention. Moderate citrus, pine, and resin hops and hop bitterness, minty notes, roast and chocolate malt with a dry finish. Medium body and moderate carbonation.",BeerandBlues2
34,Bend Spot Market IPA,3.8,"Bend, Oregon","Draught. Pours clear orange with a medium, frothy white head, medium retention. Heavy citrus, tropical fruit, and melon hops and hop bitterness, medium bread malt, and a dry finish. Medium body and carbonation.",BeerandBlues2
