,Beer Names,Rating,Locations,Reviews,Users,City
1,Beamish Irish Stout,5,"Cork, Ireland","""il solito"" al pub che frequento di più era la Beamish. Una birra che non ti stanca mai, leggera di gradazione, dissetante, ne berresti litri!
Ottima stout Irlandese ""caffelattosa"", con schiuma spumosa (spillatura ad azoto).
Per il mio gusto, superiore alla ""sorella"" ben più famosa e diffusa.",flogisto,Cork
2,Simpler Times Pilsner,0.6,"Monrovia, California","Jesus this is bad. Not sure what discriminates this from their lager, taste very similar with harsh grainy notes, corn, acetaldehyde. Light bitterness.",PhillyBeer2112,Monrovia
3,Revolution Fistmas Ale,1.9,"Chicago, Illinois","HAHA, funny name and interesting can from chalet.  Once popped, this stuff smells like a pine tree, no lie, a real Christmas tree, heheh. Taste is spruce and pine needles. Yes, it really does make me think that it's Christmas. Color is slightly darker than pale. Lots of hops and very few if any spices, as in any other holiday brew that is spiced to death and I'm glad, I dislike those holiday spiced brews. Yes, more like an IPA and I bet IPA lovers will like this. Can't really find the orange peel, but I think I do pick up a little bit of ginger and heat in the finish. I don't like IPA but this is better than most holiday brews. So be it.",cheap,Chicago
4,Samuel Adams Utopias,2,"Boston, Massachusetts","Mildly syrupy, but not overly sweet. Woody and raisiny, if that’s a real word. Not your “traditional beer” taste. Sold by the ounce at Boxelder in Miami. Very interesting to try, worth trying, but personally wouldn’t try it again, not my style.",tryeverything,Boston
5,Ora Limoncello IPA,1.4,"Tottenham, Greater London",På GBBF Winter 2020 i Birmingham. Delt med Rune. Lysegrågul. Filmskum. Litt uklar. Ingefæraroma. Smaken dorens. Kunstig. No good.,Finn,Tottenham
6,ABK Hell,1.5,"Kaufbeuren, Bavaria","Light caramel & corn malt, hint of lemon citrus hopLight sweet caramel malt, grain/cereal, and some citrus note. Light and refreshing but nothing special
",FACambridge,Kaufbeuren
7,ABK Fels,1.1,"Kaufbeuren, Bavaria","Aroma : Lightly toasted caramel malt, grassy hop.  Taste : As nose, not horrible; just boring !
",FACambridge,Kaufbeuren
8,Shock Top Belgian White,5,"St. Louis, Missouri",It's good. No unwanted tastes or flavors that I notice. 15 pack for $14.50 before tax.,murphmn,St. Louis
9,Lost Abbey Red Poppy Ale,2.3,"San Marcos, California","Cocoa-colored with tan head that doesn't stick around.  Carbonation produces foamy head which lingers.  Vinous, lactic aroma.  Extremely sour to the point it's difficult to taste anything.  Very dry finish with vinous aftertaste.  Feel like I need to drink something between sips to rehydrate my mouth.  I want to like this given the other positive reviews, but I'm just not seeing it.  Overall: too sour, too little going on, and I'm not convinced the cherries or poppies are doing anything.",frozencemetery,San Marcos
10,Milwaukee's Best Premium,5,"Milwaukee                       , Wisconsin",It's cheap ass hell and it does the job. I get mine at speedway for $1.80 That's including tax!!!,torres,Milwaukee                       
11,Hubertus Märzen,4.4,"Laa an der Thaya, Austria","very clear, light-yellow colour
white foam that dissolves quickly and leaves little residue
smells of hay, flowers—rose?
tastes surprisingly like blossom honey—sweet, malty, floral notes
oily mouthfeel, no distinct carbonation, lingers relatively shortly
great beer if you’ve got a sweet tooth",guinnessdaniel,Laa an der Thaya
12,Paulaner Weissbier-Radler Alkoholfrei ,3.1,"Munich, Bavaria","Pours hazy amber with a thin white head. Aroma of sweet lemon juice. Taste has sweet lemon with a hint of a wheat backbone, malt with light sour notes. Palate has intense nose note of lemon mixed with a honey sweetness. Notable.",pdog555,Munich
13,Anchor California Lager,4.7,"San Francisco, California","Cerveza de color dorado y fina espuma blanca al servirse. Con un sútil olor a lúpulo y sabor a malta tostada, naranja y frutas. Tiene un final  seco y amargo muy agradable al paladar.",alfonsochinchillarico,San Francisco
14,Vox Populi Kettle Sour,0.7,"Montréal, Quebec","Colo amarillo pálido con una ligera neblina. Espuma desmesurada. Aroma a gaseosa y limón. Gusto a cerveza Pale Lager industrial de las baratas mezclada con gaseosa La Casera, notas de polvo y metálicas. Cuerpo acuoso. Esta cerveza es una auténtica estafa, sobrecarbonatada y desagradable, antes de pedirla piensa que una ""clara"" de Steinburg con gaseosa le va a dar 40 vueltas.",Suco,Montréal
15,Brass Castle Very Bad Kitty,1.8,"Malton, North Yorkshire","Can: Gushed as soon as the top was popped, deep black with huge brown head. Aroma was vinegar fruit some roast, very pungent offness. Taste was undrinkable sourness, some molasses. Drain pour, which is unfortunate.",SHIG,Malton
16,Oud Beersel Schaarbeekse Oude Kriek,2.3,"Beersel, Belgium","500ml bottle (Overpriced Beer Tasting #5) thanks Juks! (4:4:5:2-:8=2.3-)
Clear red. Odd poopy aroma spoils the cherry that's there. Dark cherry taste. Harsh vinegary palate. Unbalanced acidity, harsh. Funk's too barnyardy too.
",FatPhil,Beersel
17,BFM Abbaye de Saint Bon-Chien (2015),2.2,"Saignelégier, Switzerland","750ml bottle (Overpriced Beer Tasting #5) thanks me! (4:3:4:2:9=2.2)
very solventy aroma, airfix glue. Vinegary sour palate. Taste is massively vinegary. Acidic finish. So solventy and acidic. Almost undrinkable.
",FatPhil,Saignelégier
18,Summer Wine Sabertooth IPA,1.7,"Holmfirth, West Yorkshire","0,3 litre Bottle from Old Cellar Collection. Golden with white head. Malts, hops, yeast, bitterness.",ChrisOfstad,Holmfirth
19,Victory Cloud Walker IPA,1.1,"Downingtown, Pennsylvania","Can from JRs. Pour is hazy pale fer sher. Rubbery nose. Same with taste, its kinda rubbery and floral at the same time. Yes, typical IPA, simply bitter bullshit. Rubbery finish too. What else can be said, its just another ubiquitous one of a million american IPA, there you have it.",cheap,Downingtown
20,Brooklyn Special Effects,1.2,"Brooklyn, New York",Feb 2020. Bottle at Frankie and Bennie's. Tastes like an old school alcohol free lager. Reminds me of Kaliber. Ho hum. Drinkable. I like the bottle label.,SilkTork,Brooklyn
21,Seattle Cider Berry Rosé,0.8,"Seattle, Washington","Nice cider flavor, but the aftertaste threw me off. I would not drink again.",bpreo,Seattle
22,Henry Weinhard's Private Reserve,0.5,"Milwaukee                       , Wisconsin","12 oz can poured into a pint glass. Not sure why I bought a 12 pack of this ghetto beer. Was not expecting much and as is easy to believe, not getting much either! Nothing more to say other than sometimes a lightweight crap beer hits the spot.",tntracey,Milwaukee                       
23,Odd Side Ales Shadynasty's,1.2,"Grand Haven, Michigan","Silver can with a black label. Pour is very murky hazy IPA. It smells like IPA too, heavy perfumy and piney olfactory. Taste is big bitter obnoxiousness. Nasty, rude ass, totally in yer face. Go figger. Just like any other million IPAs out there except maybe its really hazy. Could not appreciate. Nothing odd about this. It looks OS finally caved to commercialism. This style is so ubiquitous and they all mostly taste the same. I gotta quit buying this happy bullshit style. Its noteven good enough for a tik.",cheap,Grand Haven
